score,genres
7.0,"['thriller', 'european', 'crime', 'drama']"
4.7,"['fantasy', 'scifi', 'action', 'comedy', 'family']"
6.4,"['drama', 'crime', 'thriller']"
4.5,"['drama', 'family', 'romance', 'sport', 'action']"
4.7,"['thriller', 'horror']"
4.7,"['scifi', 'action', 'comedy', 'thriller']"
6.5,"['thriller', 'crime', 'drama', 'european']"
5.7,"['drama', 'comedy', 'family']"
6.2,"['comedy', 'drama', 'family']"
8.0,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']"
6.5,"['western', 'drama', 'history']"
6.6,"['romance', 'comedy', 'drama']"
7.2,"['comedy', 'drama']"
,['comedy']
4.5,"['action', 'scifi']"
7.9,"['drama', 'documentation', 'war']"
6.8,['comedy']
6.8,"['romance', 'drama']"
8.5,"['comedy', 'documentation']"
7.0,"['drama', 'european']"
,['comedy']
7.1,[]
7.9,"['comedy', 'documentation']"
6.4,['documentation']
6.7,"['drama', 'music', 'romance']"
7.6,"['drama', 'romance', 'comedy']"
7.4,"['comedy', 'family', 'action', 'animation', 'european']"
7.4,['comedy']
7.8,"['drama', 'comedy', 'crime']"
5.9,"['comedy', 'documentation']"
7.8,"['drama', 'romance', 'comedy']"
7.5,"['drama', 'romance']"
,['drama']
4.7,"['romance', 'comedy', 'drama']"
7.1,"['drama', 'romance', 'comedy', 'history']"
4.0,['comedy']
7.2,"['drama', 'sport']"
8.1,"['romance', 'drama']"
7.6,"['romance', 'war', 'comedy', 'drama', 'european']"
7.6,"['drama', 'comedy', 'romance', 'action']"
4.8,"['drama', 'music', 'family']"
5.4,"['action', 'drama', 'romance', 'crime']"
6.5,"['comedy', 'fantasy', 'drama', 'crime']"
6.2,"['thriller', 'action', 'drama', 'romance']"
9.0,"['crime', 'drama']"
6.2,"['fantasy', 'romance', 'family', 'drama']"
7.6,"['comedy', 'drama', 'music', 'romance']"
5.5,"['drama', 'crime', 'thriller']"
6.1,"['comedy', 'romance', 'drama']"
,['comedy']
6.4,"['drama', 'romance', 'comedy']"
5.5,"['drama', 'romance']"
7.5,"['romance', 'comedy', 'drama']"
5.4,"['romance', 'drama', 'thriller']"
6.9,"['war', 'drama', 'crime', 'european']"
5.5,"['comedy', 'action', 'crime', 'thriller']"
6.6,"['drama', 'action', 'crime']"
7.8,"['drama', 'crime']"
4.5,"['romance', 'comedy', 'drama']"
7.3,"['comedy', 'documentation']"
6.6,"['comedy', 'music', 'documentation']"
6.6,"['thriller', 'romance', 'drama']"
6.1,"['drama', 'romance']"
7.8,"['comedy', 'documentation']"
7.8,"['comedy', 'documentation']"
5.9,"['drama', 'european', 'romance']"
6.7,"['comedy', 'documentation']"
8.2,"['documentation', 'history']"
6.1,"['action', 'crime', 'drama', 'thriller']"
6.5,['drama']
4.5,"['drama', 'action']"
7.9,"['drama', 'comedy']"
6.7,"['comedy', 'drama', 'romance']"
6.9,['drama']
3.6,"['crime', 'action', 'drama']"
6.2,"['comedy', 'documentation']"
5.0,"['romance', 'action', 'drama']"
6.0,"['drama', 'romance', 'action', 'crime']"
4.6,"['romance', 'action', 'comedy', 'fantasy']"
,"['drama', 'comedy']"
5.9,"['drama', 'action']"
,[]
9.5,"['drama', 'thriller', 'crime']"
8.2,"['action', 'drama', 'scifi', 'thriller', 'horror']"
7.8,"['crime', 'documentation', 'drama']"
8.7,"['drama', 'romance', 'european']"
7.6,"['drama', 'romance']"
8.6,"['reality', 'european']"
8.1,"['thriller', 'crime', 'drama']"
7.8,"['action', 'drama', 'crime', 'thriller', 'comedy']"
8.5,['comedy']
8.4,"['drama', 'family']"
8.5,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']"
7.1,"['comedy', 'drama', 'romance']"
6.5,"['thriller', 'action', 'scifi']"
8.7,['comedy']
8.5,"['comedy', 'european']"
8.3,"['comedy', 'sport']"
9.3,"['scifi', 'family', 'fantasy', 'animation', 'action']"
8.8,"['scifi', 'music', 'thriller', 'action']"
6.6,"['crime', 'action', 'comedy']"
8.1,"['fantasy', 'animation', 'action', 'comedy', 'family', 'drama']"
8.7,"['drama', 'sport']"
8.0,"['thriller', 'action', 'european']"
7.2,"['thriller', 'crime', 'drama']"
7.6,"['scifi', 'animation', 'drama', 'fantasy', 'music', 'comedy', 'family']"
7.2,"['scifi', 'family', 'fantasy', 'animation', 'comedy']"
6.6,"['action', 'comedy', 'documentation']"
6.1,"['action', 'drama', 'thriller', 'animation', 'comedy', 'fantasy', 'family', 'scifi']"
9.0,"['scifi', 'animation', 'crime', 'drama', 'fantasy', 'thriller']"
6.5,"['comedy', 'european']"
7.7,"['scifi', 'drama', 'thriller', 'fantasy', 'horror', 'romance']"
6.6,"['fantasy', 'comedy', 'family']"
6.1,"['thriller', 'crime']"
7.0,['comedy']
7.8,['drama']
7.7,"['thriller', 'documentation', 'crime', 'drama']"
8.4,"['scifi', 'comedy', 'animation', 'action', 'fantasy', 'thriller']"
7.5,"['drama', 'crime']"
7.2,"['thriller', 'action', 'drama']"
8.0,"['drama', 'fantasy', 'romance']"
8.0,"['thriller', 'action']"
7.0,"['crime', 'drama', 'history', 'action', 'european']"
5.6,['reality']
7.6,"['crime', 'action', 'thriller']"
